ABC,Water,SMBS,Gluten%,SV ml,Moisture,Datetime
5.4,16,130,11.24,26,12.17,2023-04-18:01
5.4,16,130,11.24,26,12.17,2023-04-18:01
5.4,16,130,11.24,26,12.17,2023-04-18:02
5.4,16,130,11.24,26,12.17,2023-04-18:02
5.4,16,130,11.24,26,12.17,2023-04-18:02
5.4,16,130,11.24,26,12.17,2023-04-18:03
5.4,16,130,11.24,26,12.17,2023-04-18:04
5.4,16,130,11.24,26,12.17,2023-04-18:04
5.4,16,130,11.24,26,12.17,2023-04-18:05
5.4,16,130,11.24,26,12.17,2023-04-18:05
5.4,16,130,11.24,26,12.17,2023-04-18:06
5.4,16,130,11.24,26,12.17,2023-04-18:07
5.4,16,130,10.97,24,13.29,2023-04-19:07
5.4,16,130,10.97,24,13.29,2023-04-19:07
5.4,16,130,10.97,24,13.29,2023-04-19:08
5.4,16,130,10.97,24,13.29,2023-04-19:08
5.2,15,120,10.97,24,13.29,2023-04-19:09
5.2,15,120,10.97,24,13.29,2023-04-19:09
5.2,15,120,10.97,24,13.29,2023-04-19:10
5.2,15,120,10.97,24,13.29,2023-04-19:10
5.2,15,120,10.97,24,13.29,2023-04-19:11
5.2,15,120,10.97,24,13.29,2023-04-19:11
5.2,15,120,10.97,24,13.29,2023-04-19:12
5.4,15,120,10.97,24,13.29,2023-04-19:12
5.4,15,120,10.97,24,13.29,2023-04-19:16
5.4,15,120,10.97,24,13.29,2023-04-19:17
5.4,15,120,10.97,24,13.29,2023-04-19:17
5.4,15,120,10.97,24,13.29,2023-04-19:18
5.4,15,130,10.97,24,13.29,2023-04-19:20
5.4,15,130,10.97,24,13.29,2023-04-19:20
5.4,15,130,10.97,24,13.29,2023-04-19:21
5.4,15,130,10.97,24,13.29,2023-04-19:21
5.4,15,130,10.97,24,13.29,2023-04-19:22
5.4,15,130,10.97,24,13.29,2023-04-19:22
5.4,15,130,10.97,24,13.29,2023-04-19:22
5.4,15,130,10.97,24,13.29,2023-04-19:22
5.4,15,130,10.97,24,13.29,2023-04-19:23
5.4,15,130,10.97,24,13.29,2023-04-19:23
5.4,15,130,10.97,24,13.29,2023-04-19:00
5.4,15,130,10.97,24,13.29,2023-04-19:00
5.4,15,130,10.97,24,13.29,2023-04-19:01
5.4,15,130,10.97,24,13.29,2023-04-19:01
5.4,15,130,10.97,24,13.29,2023-04-19:02
5.4,15,130,10.97,24,13.29,2023-04-19:02
5.4,15,130,10.97,24,13.29,2023-04-19:03
5.4,15,130,10.97,24,13.29,2023-04-19:03
5.4,15,130,10.97,24,13.29,2023-04-19:04
5.4,15,130,10.97,24,13.29,2023-04-19:05
5.4,15,130,10.97,24,13.29,2023-04-19:05
5.4,15,130,10.97,24,13.29,2023-04-19:06
5.4,15,130,10.97,24,13.29,2023-04-19:06
